ActualLengthOfPlan,NumberOfQtrWithoutCourses,NumberOfQtrWithCourses,TotalNumberOfCourses,AvgNumberOfCoursesPerQuarter,TotalNumberOfYears,NumberofYearswithCOurse,GapDelta
20.0,3.0,17.0,22.0,1.2941176470588236,5.0,4.25,0.75
22.0,4.0,18.0,25.0,1.4,5.5,4.5,1.0
23.0,4.0,19.0,29.0,1.5,5.8,4.8,1.0
18.0,3.0,15.0,19.0,1.2666666666666666,4.5,3.75,0.75
24.0,3.0,21.0,30.0,1.4,6.0,5.3,0.8
20.0,4.0,16.0,31.0,1.9375,5.0,4.0,1.0
20.0,3.0,17.0,23.0,1.3529411764705883,5.0,4.25,0.75
20.0,3.0,17.0,25.0,1.4705882352941178,5.0,4.25,0.75
26.0,4.0,22.0,29.0,1.3,6.5,5.5,1.0
27.0,5.0,22.0,31.0,1.4,6.8,5.5,1.3
24.0,4.0,20.0,30.0,1.5,6.0,5.0,1.0
20.0,3.0,17.0,22.0,1.2941176470588236,5.0,4.25,0.75
20.0,4.0,16.0,23.0,1.4375,5.0,4.0,1.0
20.0,3.0,17.0,26.0,1.5294117647058822,5.0,4.25,0.75
20.0,3.0,17.0,24.0,1.411764705882353,5.0,4.25,0.75
24.0,3.0,21.0,31.0,1.5,6.0,5.3,0.8
20.0,3.0,17.0,25.0,1.4705882352941178,5.0,4.25,0.75
20.0,3.0,17.0,22.0,1.2941176470588236,5.0,4.25,0.75
20.0,3.0,17.0,25.0,1.4705882352941178,5.0,4.25,0.75
15.0,4.0,11.0,18.0,1.6363636363636365,3.75,2.75,1.0
14.0,4.0,10.0,17.0,1.7,3.5,2.5,1.0
20.0,3.0,17.0,24.0,1.411764705882353,5.0,4.25,0.75
24.0,3.0,21.0,32.0,1.5,6.0,5.3,0.8
20.0,3.0,17.0,24.0,1.411764705882353,5.0,4.25,0.75
20.0,3.0,17.0,31.0,1.8235294117647058,5.0,4.25,0.75
20.0,3.0,17.0,22.0,1.2941176470588236,5.0,4.25,0.75
18.0,4.0,14.0,30.0,2.142857142857143,4.5,3.5,1.0
20.0,3.0,17.0,24.0,1.411764705882353,5.0,4.25,0.75
23.0,4.0,19.0,27.0,1.4,5.8,4.8,1.0
27.0,4.0,23.0,31.0,1.3,6.8,5.8,1.0
28.0,6.0,22.0,32.0,1.5,7.0,5.5,1.5
27.0,4.0,23.0,32.0,1.4,6.8,5.8,1.0
19.0,4.0,15.0,23.0,1.5333333333333334,4.75,3.75,1.0
20.0,3.0,17.0,24.0,1.411764705882353,5.0,4.25,0.75
24.0,3.0,21.0,29.0,1.4,6.0,5.3,0.8
24.0,4.0,20.0,29.0,1.5,6.0,5.0,1.0
28.0,4.0,24.0,29.0,1.2,7.0,6.0,1.0
22.0,4.0,18.0,24.0,1.3,5.5,4.5,1.0
20.0,3.0,17.0,23.0,1.3529411764705883,5.0,4.25,0.75
26.0,4.0,22.0,31.0,1.4,6.5,5.5,1.0
28.0,7.0,21.0,28.0,1.3,7.0,5.3,1.8
20.0,3.0,17.0,24.0,1.411764705882353,5.0,4.25,0.75
20.0,3.0,17.0,24.0,1.411764705882353,5.0,4.25,0.75
26.0,4.0,22.0,31.0,1.4,6.5,5.5,1.0
