TotalNumberOfYears,GapDelta
5.0,0.75
5.5,1.0
5.8,1.0
4.5,0.75
6.0,0.8
5.0,1.0
5.0,0.75
5.0,0.75
6.5,1.0
6.8,1.3
6.0,1.0
5.0,0.75
5.0,1.0
5.0,0.75
5.0,0.75
6.0,0.8
5.0,0.75
5.0,0.75
5.0,0.75
3.75,1.0
3.5,1.0
5.0,0.75
6.0,0.8
5.0,0.75
5.0,0.75
5.0,0.75
4.5,1.0
5.0,0.75
5.8,1.0
6.8,1.0
7.0,1.5
6.8,1.0
4.75,1.0
5.0,0.75
6.0,0.8
6.0,1.0
7.0,1.0
5.5,1.0
5.0,0.75
6.5,1.0
7.0,1.8
5.0,0.75
5.0,0.75
6.5,1.0
5.8,1.3
5.5,1.3
5.5,1.0
5.0,0.75
5.0,0.75
5.5,1.0
4.75,1.0
6.0,1.0
4.0,1.0
6.0,0.8
5.0,0.75
6.8,1.0
4.5,1.0
6.0,1.0
4.0,0.75
5.5,1.0
7.0,0.8
4.0,0.75
5.8,1.0
5.5,1.0
6.5,1.0
5.5,1.0
5.5,1.0
5.5,1.0
5.0,0.75
4.0,1.0
6.8,1.0
5.5,1.3
5.0,0.75
5.5,1.0
5.5,1.0
5.0,0.75
4.0,1.0
3.75,1.0
5.0,1.0
3.75,1.0
5.8,1.0
5.8,1.3
4.75,0.25
4.0,0.75
7.0,1.3
5.0,0.75
5.0,0.75
4.8,1.3
5.0,0.75
5.0,0.75
4.0,1.0
4.0,1.3
5.5,1.0
3.75,1.0
6.0,2.0
5.0,0.75
6.5,1.0
4.0,0.75
6.8,1.0
7.0,1.0
5.5,1.5
5.0,0.75
5.5,1.0
5.0,0.75
4.0,1.0
6.5,1.0
4.75,1.0
5.5,1.0
4.0,1.0
4.0,1.0
6.0,0.8
5.0,0.75
4.5,0.75
5.0,0.75
4.0,0.75
6.5,1.0
4.0,1.0
6.5,1.0
5.0,0.75
6.0,1.0
4.0,0.75
5.8,1.0
5.0,0.75
6.8,1.0
6.0,0.8
5.5,1.0
5.0,0.75
4.25,0.75
3.75,1.0
4.5,1.0
6.0,0.8
6.5,1.0
6.0,0.8
5.0,0.75
4.0,0.75
4.0,0.75
5.0,0.75
5.5,1.0
5.0,0.75
4.75,1.0
4.0,0.75
5.0,0.75
6.5,1.0
4.75,1.0
6.5,1.0
5.5,1.0
5.0,0.75
5.5,1.5
6.5,1.0
5.0,0.75
4.0,0.75
6.8,1.0
5.5,1.0
5.0,0.75
5.0,0.75
5.3,0.8
5.0,0.75
6.5,1.0
6.0,1.0
5.5,1.0
6.0,0.8
5.0,0.75
6.0,1.0
5.8,1.0
5.5,1.0
6.0,0.8
5.0,0.75
5.0,0.5
5.0,0.75
5.5,1.0
4.8,1.3
4.0,1.0
5.5,1.0
6.8,1.0
5.0,1.0
6.0,0.8
5.0,0.75
5.5,1.0
6.5,1.0
4.25,0.75
5.0,0.75
7.0,1.0
5.0,0.75
5.0,1.0
5.0,1.0
5.0,0.75
4.0,0.75
6.5,1.0
5.5,1.0
5.5,1.0
5.5,1.0
5.0,0.75
5.0,0.75
5.0,0.75
6.0,0.8
5.0,0.75
7.5,1.3
5.8,1.0
4.0,1.0
5.0,1.0
5.5,1.0
6.0,0.8
5.8,1.0
6.0,1.0
6.8,1.0
6.5,1.0
5.5,1.0
