PlanID,Sentence
1,498 914 519 784 1101 521 1093 1102 520 512 EOS
2,507 508 520 516 513 519 521 511 512 517 513 EOS
3,921 1246 507 922 268 498 924 1100 518 516 926 1101 1093 519 513 913 1102 521 512 914 EOS
4,913 507 508 519 513 517 521 520 511 EOS
5,914 517 519 520 508 513 516 512 401 521 511 EOS
6,493 916 264 919 191 265 1133 199 322 200 1134 323 201 1155 784 EOS
7,493 1133 264 322 1134 191 199 200 919 201 EOS
8,926 502 271 1094 1100 924 505 926 507 1101 518 1102 EOS
9,921 1170 264 1133 EOS
10,916 266 492 917 1071 1133 921 193 1246 268 195 197 269 199 270 200 271 272 201 400 322 EOS
11,1246 367 268 516 1100 508 512 1101 513 517 510 1102 520 921 EOS
12,914 1100 518 913 1101 519 513 1102 521 912 EOS
13,916 505 266 917 1246 921 1094 922 268 507 498 924 1100 926 1101 518 1102 519 520 914 521 913 513 EOS
14,917 1246 268 323 507 921 1094 1093 922 1100 924 1101 498 401 1102 518 913 519 914 521 512 516 513 511 517 EOS
15,321 1076 109 160 322 EOS
16,921 516 922 1100 507 924 518 1093 1246 268 926 1101 519 914 1102 521 512 913 520 513 517 510 508 511 EOS
17,917 266 505 921 1246 1094 922 268 1100 507 516 498 924 1101 518 520 926 1102 519 511 913 521 512 513 914 EOS
18,516 517 914 520 513 EOS
19,922 1100 505 924 1100 507 1093 498 926 1101 516 913 1102 914 518 266 1246 401 521 508 268 513 517 519 511 512 520 EOS
20,922 266 507 401 924 1246 1100 926 518 1101 1093 914 1102 519 513 913 520 521 EOS
21,917 493 343 921 349 1246 922 1094 919 344 1329 1100 711 400 347 EOS
22,921 1170 782 264 1133 EOS
23,917 268 490 921 1094 505 922 498 924 1097 507 913 1101 1093 518 914 1102 519 926 521 520 513 EOS
24,350 490 345 924 400 1246 492 919 1094 EOS
25,922 1246 507 924 268 1100 1093 926 914 349 913 1102 344 1329 518 509 513 517 401 EOS
26,922 492 505 924 349 925 926 344 1329 920 EOS
27,917 349 490 921 344 1329 492 922 919 EOS
28,916 266 492 917 1071 1133 921 191 1246 268 195 197 269 199 270 200 271 272 201 400 322 323 EOS
29,922 507 349 1100 924 926 509 913 1101 914 1102 518 517 510 513 EOS
30,502 924 343 349 1094 344 1329 492 1100 190 400 919 347 913 EOS
31,917 1246 604 921 268 1094 922 924 1100 505 926 492 1101 1093 1102 712 914 516 508 507 518 519 513 913 521 517 1068 EOS
32,921 490 343 922 349 1094 400 1075 344 1329 924 1100 913 1101 347 784 492 1102 EOS
33,916 490 266 1093 917 505 1246 921 1094 507 922 1100 349 924 1101 344 1329 926 1102 913 914 517 EOS
34,917 711 899 505 266 921 507 1246 922 401 268 924 1094 1095 EOS
35,916 505 266 498 EOS
36,916 343 492 917 349 1076 921 344 1329 109 922 784 1094 919 347 400 EOS
37,924 492 345 913 1100 784 EOS
