ID,PlanID,QuarterID,YearID,CourseID
1,1,4,2016,498
2,1,1,2016,914
3,1,1,2016,519
4,1,1,2016,784
5,1,2,2017,1101
6,1,2,2017,521
7,1,2,2017,1093
8,1,3,2017,1102
9,1,3,2017,520
10,1,3,2017,512
11,2,4,2017,507
12,2,1,2017,508
13,2,1,2017,520
14,2,2,2018,516
15,2,2,2018,513
16,2,2,2018,519
17,2,3,2018,521
18,2,3,2018,511
19,2,3,2018,512
20,2,4,2018,517
21,2,4,2018,513
22,3,3,2016,921
23,3,3,2016,1246
24,3,3,2016,507
25,3,4,2016,922
26,3,4,2016,268
27,3,4,2016,498
28,3,1,2016,924
29,3,1,2016,1100
30,3,1,2016,518
31,3,1,2016,516
32,3,2,2017,926
33,3,2,2017,1101
34,3,2,2017,1093
35,3,2,2017,519
36,3,2,2017,513
37,3,3,2017,913
38,3,3,2017,1102
39,3,3,2017,521
40,3,3,2017,512
41,3,4,2017,914
42,4,1,2017,913
43,4,1,2017,507
44,4,1,2017,508
45,4,2,2018,519
46,4,2,2018,513
47,4,2,2018,517
48,4,3,2018,521
49,4,3,2018,520
50,4,3,2018,511
51,5,4,2017,914
52,5,4,2017,517
53,5,1,2017,519
54,5,1,2017,520
55,5,1,2017,508
56,5,2,2018,513
57,5,2,2018,516
58,5,2,2018,512
59,5,2,2018,401
60,5,3,2018,521
61,5,3,2018,511
62,6,3,2015,493
63,6,3,2015,916
64,6,3,2015,264
65,6,1,2015,919
66,6,1,2015,191
67,6,1,2015,265
68,6,2,2016,1133
69,6,2,2016,199
70,6,2,2016,322
71,6,3,2016,200
72,6,3,2016,1134
73,6,3,2016,323
74,6,1,2016,201
75,6,1,2016,1155
76,6,1,2016,784
77,7,3,2015,493
78,7,3,2015,1133
79,7,3,2015,264
80,7,1,2015,322
81,7,1,2015,1134
82,7,1,2015,191
83,7,2,2016,199
84,7,3,2016,200
85,7,4,2016,919
86,7,1,2016,201
87,8,3,2017,926
88,8,3,2017,502
89,8,3,2017,271
90,8,3,2017,1094
91,8,1,2017,1100
92,8,1,2017,924
93,8,1,2017,505
94,8,2,2018,926
95,8,2,2018,507
96,8,2,2018,1101
97,8,3,2018,518
98,8,3,2018,1102
99,9,3,2015,921
100,9,3,2015,1170
101,9,2,2016,264
102,9,2,2016,1133
103,10,2,2018,916
104,10,2,2018,266
105,10,2,2018,492
106,10,3,2018,917
107,10,3,2018,1071
108,10,3,2018,1133
109,10,4,2018,921
110,10,1,2018,193
111,10,1,2018,1246
112,10,2,2019,268
113,10,2,2019,195
114,10,3,2019,197
115,10,3,2019,269
116,10,4,2019,199
117,10,1,2019,270
118,10,1,2019,200
119,10,2,2020,271
120,10,3,2020,272
121,10,3,2020,201
122,10,4,2020,400
123,10,4,2020,322
124,11,3,2017,1246
125,11,3,2017,367
126,11,4,2017,268
127,11,4,2017,516
128,11,1,2017,1100
129,11,1,2017,508
130,11,1,2017,512
131,11,2,2018,1101
132,11,2,2018,513
133,11,2,2018,517
134,11,2,2018,510
135,11,3,2018,1102
136,11,3,2018,520
137,11,3,2018,921
138,12,1,2016,914
139,12,1,2016,1100
140,12,1,2016,518
141,12,2,2017,913
142,12,2,2017,1101
143,12,2,2017,519
144,12,3,2017,513
145,12,3,2017,1102
146,12,3,2017,521
147,12,3,2017,912
148,13,2,2014,916
149,13,2,2014,505
150,13,2,2014,266
151,13,3,2014,917
152,13,3,2014,1246
153,13,4,2014,921
154,13,4,2014,1094
155,13,1,2014,922
156,13,1,2014,268
157,13,1,2014,507
158,13,1,2014,498
159,13,2,2015,924
160,13,2,2015,1100
161,13,3,2015,926
162,13,3,2015,1101
163,13,3,2015,518
164,13,1,2015,1102
165,13,1,2015,519
166,13,1,2015,520
167,13,2,2016,914
168,13,2,2016,521
169,13,3,2016,913
170,13,3,2016,513
171,14,2,2014,917
172,14,2,2014,1246
173,14,3,2014,268
174,14,3,2014,323
175,14,4,2014,507
176,14,1,2014,921
177,14,1,2014,1094
178,14,1,2014,1093
179,14,2,2015,922
180,14,2,2015,1100
181,14,3,2015,924
182,14,3,2015,1101
183,14,4,2015,498
184,14,4,2015,401
185,14,1,2015,1102
186,14,1,2015,518
187,14,2,2016,913
188,14,2,2016,519
189,14,3,2016,914
190,14,3,2016,521
191,14,3,2016,512
192,14,1,2016,516
193,14,2,2017,513
194,14,3,2017,511
195,14,3,2017,517
196,15,4,2018,321
197,15,4,2018,1076
198,15,4,2018,109
199,15,3,2019,160
200,15,4,2019,322
201,16,1,2016,921
202,16,1,2016,516
203,16,2,2017,922
204,16,2,2017,1100
205,16,2,2017,507
206,16,3,2017,924
207,16,3,2017,518
208,16,3,2017,1093
209,16,4,2017,1246
210,16,4,2017,268
211,16,1,2017,926
212,16,1,2017,1101
213,16,1,2017,519
214,16,2,2018,914
215,16,2,2018,1102
216,16,2,2018,521
217,16,2,2018,512
218,16,3,2018,913
219,16,3,2018,520
220,16,3,2018,513
221,16,4,2018,517
222,16,4,2018,510
223,16,1,2018,508
224,16,2,2019,511
225,17,1,2014,917
226,17,1,2014,266
227,17,1,2014,505
228,17,2,2015,921
229,17,2,2015,1246
230,17,2,2015,1094
231,17,3,2015,922
232,17,3,2015,268
233,17,3,2015,1100
234,17,3,2015,507
235,17,4,2015,516
236,17,4,2015,498
237,17,1,2015,924
238,17,1,2015,1101
239,17,1,2015,518
240,17,1,2015,520
241,17,2,2016,926
242,17,2,2016,1102
243,17,2,2016,519
244,17,2,2016,511
245,17,3,2016,913
246,17,3,2016,521
247,17,3,2016,512
248,17,3,2016,513
249,17,4,2016,914
250,18,2,2018,516
